Using device: mps
Using device: mps

=== Training SAC on HalfCheetah-v5 (seed=0) ===
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 167: Reward = 834.05
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 168: Reward = 793.70
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 169: Reward = 737.82
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 170: Reward = 847.43
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 171: Reward = 801.90
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 172: Reward = 731.84
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 173: Reward = 792.91
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 174: Reward = 822.32
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 175: Reward = 889.19
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 176: Reward = 883.23
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 177: Reward = 764.49
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 178: Reward = 825.39
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 179: Reward = 767.23
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 180: Reward = 904.79
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 181: Reward = 865.02
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 182: Reward = 857.64
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 183: Reward = 808.39
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 184: Reward = 826.37
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 185: Reward = 792.05
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 186: Reward = 863.99
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 187: Reward = 795.86
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 188: Reward = 842.88
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 189: Reward = 907.02
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 190: Reward = 918.54
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 191: Reward = 818.54
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 192: Reward = 869.84
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 193: Reward = 849.49
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 194: Reward = 928.60
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 195: Reward = 878.78
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 196: Reward = 887.70
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 197: Reward = 971.60
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 198: Reward = 910.99
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 199: Reward = 900.68
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 200: Reward = 936.69
Evaluation reward (episode 200): 1252.86
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 201: Reward = 909.06
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 202: Reward = 905.25
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 203: Reward = 872.87
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 204: Reward = 909.25
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 205: Reward = 311.33
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 206: Reward = 820.53
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 207: Reward = 932.66
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 208: Reward = 891.41
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 209: Reward = 960.09
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 210: Reward = 901.78
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 211: Reward = 932.52
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 212: Reward = 930.08
[SACAgent | HalfCheetah-v5 | Seed 0] Episode 213: Reward = 865.64
